09:45:24 - !! Missing server jar file. Aborting !!
17:08:12 - Json file not found in /home/migecha/.minecraft/versions/Migecha Client/Migecha Client.json
17:08:12 - Please run launcher & Minecraft at least once.
11:44:32 - Json file not found in /home/migecha/.minecraft/versions/Migecha Client/Migecha Client.json
11:44:32 - Please run launcher & Minecraft at least once.
12:27:39 - Json file not found in /home/migecha/.minecraft/versions/Migecha Client/Migecha Client.json
12:27:39 - Please run launcher & Minecraft at least once.
12:28:07 - Json file not found in /home/migecha/.minecraft/versions/Migecha Client/Migecha Client.json
12:28:07 - Please run launcher & Minecraft at least once.
12:28:35 - Json file not found in /home/migecha/.minecraft/versions/Migecha Client/Migecha Client.json
12:28:35 - Please run launcher & Minecraft at least once.
12:29:03 - Json file not found in /home/migecha/.minecraft/versions/Migecha Client/Migecha Client.json
12:29:03 - Please run launcher & Minecraft at least once.
12:29:11 - Json file not found in /home/migecha/.minecraft/versions/Migecha Client/Migecha Client.json
12:29:11 - Please run launcher & Minecraft at least once.
